,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
23900,74,74043,9.0,2020-01-02
23987,74,74043,16.0,2020-01-03
24063,74,74043,7.0,2020-01-04
24102,74,74043,26.0,2020-01-06
24188,74,74043,13.0,2020-01-07
24277,74,74043,8.0,2020-01-08
24362,74,74043,14.0,2020-01-09
24447,74,74043,10.0,2020-01-10
24523,74,74043,7.0,2020-01-11
24557,74,74043,34.0,2020-01-13
24642,74,74043,14.0,2020-01-14
24728,74,74043,10.0,2020-01-15
24814,74,74043,15.0,2020-01-16
24900,74,74043,17.0,2020-01-17
24975,74,74043,7.0,2020-01-18
25015,74,74043,29.0,2020-01-20
25097,74,74043,10.0,2020-01-21
25177,74,74043,2.0,2020-01-22
25296,74,74043,10.0,2020-01-30
25377,74,74043,6.0,2020-01-31
25448,74,74043,5.0,2020-02-01
25488,74,74043,10.0,2020-02-03
25578,74,74043,7.0,2020-02-04
25667,74,74043,8.0,2020-02-05
25753,74,74043,9.0,2020-02-06
25846,74,74043,16.0,2020-02-07
25922,74,74043,4.0,2020-02-08
25962,74,74043,36.0,2020-02-10
26051,74,74043,12.0,2020-02-11
26136,74,74043,7.0,2020-02-12
26222,74,74043,11.0,2020-02-13
26310,74,74043,24.0,2020-02-14
26429,74,74043,28.0,2020-02-17
26520,74,74043,4.0,2020-02-18
26609,74,74043,8.0,2020-02-19
26700,74,74043,21.0,2020-02-20
26788,74,74043,7.0,2020-02-21
26866,74,74043,4.0,2020-02-22
26914,74,74043,23.0,2020-02-24
27007,74,74043,4.0,2020-02-25
27102,74,74043,5.0,2020-02-26
27196,74,74043,7.0,2020-02-27
27284,74,74043,5.0,2020-02-28
27366,74,74043,6.0,2020-02-29
27412,74,74043,26.0,2020-03-02
27507,74,74043,9.0,2020-03-03
27598,74,74043,4.0,2020-03-04
27689,74,74043,12.0,2020-03-05
27785,74,74043,15.0,2020-03-06
27869,74,74043,1.0,2020-03-07
27914,74,74043,19.0,2020-03-09
28010,74,74043,5.0,2020-03-10
28109,74,74043,10.0,2020-03-11
28202,74,74043,12.0,2020-03-12
28299,74,74043,13.0,2020-03-13
28383,74,74043,6.0,2020-03-14
28433,74,74043,35.0,2020-03-16
28529,74,74043,6.0,2020-03-17
28628,74,74043,5.0,2020-03-18
28719,74,74043,5.0,2020-03-19
28815,74,74043,8.0,2020-03-20
28898,74,74043,5.0,2020-03-21
28949,74,74043,36.0,2020-03-23
29048,74,74043,7.0,2020-03-24
29145,74,74043,3.0,2020-03-25
29237,74,74043,5.0,2020-03-26
29335,74,74043,5.0,2020-03-27
29465,74,74043,27.0,2020-03-30
29561,74,74043,11.0,2020-03-31
29653,74,74043,17.0,2020-04-01
29769,74,74043,6.0,2020-04-03
29852,74,74043,4.0,2020-04-04
29899,74,74043,13.0,2020-04-06
29995,74,74043,11.0,2020-04-07
30091,74,74043,6.0,2020-04-08
30182,74,74043,16.0,2020-04-09
30280,74,74043,9.0,2020-04-10
30410,74,74043,16.0,2020-04-13
30507,74,74043,8.0,2020-04-14
30604,74,74043,7.0,2020-04-15
30700,74,74043,12.0,2020-04-16
30802,74,74043,3.0,2020-04-17
30885,74,74043,1.0,2020-04-18
30933,74,74043,12.0,2020-04-20
31028,74,74043,9.0,2020-04-21
31121,74,74043,12.0,2020-04-22
31215,74,74043,3.0,2020-04-23
31310,74,74043,5.0,2020-04-24
31392,74,74043,6.0,2020-04-25
31443,74,74043,22.0,2020-04-27
31540,74,74043,10.0,2020-04-28
31636,74,74043,4.0,2020-04-29
31795,74,74043,36.0,2020-05-04
31859,74,74043,5.0,2020-05-05
31956,74,74043,6.0,2020-05-06
32054,74,74043,13.0,2020-05-07
32150,74,74043,13.0,2020-05-08
32234,74,74043,2.0,2020-05-09
32286,74,74043,29.0,2020-05-11
32382,74,74043,9.0,2020-05-12
32479,74,74043,13.0,2020-05-13
32570,74,74043,6.0,2020-05-14
32667,74,74043,13.0,2020-05-15
32748,74,74043,6.0,2020-05-16
32800,74,74043,29.0,2020-05-18
32900,74,74043,14.0,2020-05-19
32997,74,74043,10.0,2020-05-20
33091,74,74043,4.0,2020-05-21
33191,74,74043,11.0,2020-05-22
33275,74,74043,3.0,2020-05-23
33326,74,74043,43.0,2020-05-25
33423,74,74043,6.0,2020-05-26
33523,74,74043,8.0,2020-05-27
33620,74,74043,11.0,2020-05-28
33715,74,74043,6.0,2020-05-29
33799,74,74043,2.0,2020-05-30
33849,74,74043,20.0,2020-06-01
33946,74,74043,7.0,2020-06-02
34042,74,74043,7.0,2020-06-03
34139,74,74043,13.0,2020-06-04
34237,74,74043,16.0,2020-06-05
34319,74,74043,4.0,2020-06-06
34368,74,74043,30.0,2020-06-08
34465,74,74043,9.0,2020-06-09
34562,74,74043,17.0,2020-06-10
34657,74,74043,15.0,2020-06-11
34755,74,74043,7.0,2020-06-12
34839,74,74043,5.0,2020-06-13
34892,74,74043,11.0,2020-06-15
34984,74,74043,8.0,2020-06-16
35081,74,74043,20.0,2020-06-17
35176,74,74043,18.0,2020-06-18
35275,74,74043,8.0,2020-06-19
35360,74,74043,3.0,2020-06-20
35409,74,74043,16.0,2020-06-22
35506,74,74043,7.0,2020-06-23
35603,74,74043,8.0,2020-06-24
35695,74,74043,14.0,2020-06-25
35794,74,74043,13.0,2020-06-26
35876,74,74043,1.0,2020-06-27
35928,74,74043,10.0,2020-06-29
36021,74,74043,16.0,2020-06-30
36117,74,74043,11.0,2020-07-01
36212,74,74043,6.0,2020-07-02
36309,74,74043,8.0,2020-07-03
36441,74,74043,26.0,2020-07-06
36537,74,74043,26.0,2020-07-07
36635,74,74043,13.0,2020-07-08
36730,74,74043,16.0,2020-07-09
36824,74,74043,13.0,2020-07-10
36908,74,74043,4.0,2020-07-11
36956,74,74043,30.0,2020-07-13
37054,74,74043,13.0,2020-07-14
37146,74,74043,15.0,2020-07-15
37235,74,74043,15.0,2020-07-16
37324,74,74043,17.0,2020-07-17
37404,74,74043,20.0,2020-07-18
37450,74,74043,13.0,2020-07-20
37541,74,74043,3.0,2020-07-21
37633,74,74043,6.0,2020-07-22
37724,74,74043,9.0,2020-07-23
37818,74,74043,10.0,2020-07-24
37899,74,74043,6.0,2020-07-25
37940,74,74043,30.0,2020-07-27
38029,74,74043,9.0,2020-07-28
38118,74,74043,10.0,2020-07-29
38206,74,74043,12.0,2020-07-30
38299,74,74043,6.0,2020-07-31
38377,74,74043,3.0,2020-08-01
38420,74,74043,19.0,2020-08-03
