,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
38513,74,74043,7.0,2020-08-04
38607,74,74043,6.0,2020-08-05
38700,74,74043,10.0,2020-08-06
38796,74,74043,14.0,2020-08-07
38879,74,74043,4.0,2020-08-08
38930,74,74043,14.0,2020-08-10
39026,74,74043,20.0,2020-08-11
39125,74,74043,9.0,2020-08-12
39219,74,74043,14.0,2020-08-13
39317,74,74043,5.0,2020-08-14
39400,74,74043,8.0,2020-08-15
39450,74,74043,20.0,2020-08-17
39546,74,74043,11.0,2020-08-18
39644,74,74043,8.0,2020-08-19
39741,74,74043,12.0,2020-08-20
39840,74,74043,13.0,2020-08-21
39923,74,74043,2.0,2020-08-22
39973,74,74043,23.0,2020-08-24
40072,74,74043,5.0,2020-08-25
40169,74,74043,16.0,2020-08-26
40265,74,74043,13.0,2020-08-27
40363,74,74043,23.0,2020-08-28
40448,74,74043,5.0,2020-08-29
40501,74,74043,52.0,2020-08-31
40597,74,74043,9.0,2020-09-01
40708,74,74043,5.0,2020-09-03
40804,74,74043,9.0,2020-09-04
40888,74,74043,3.0,2020-09-05
40942,74,74043,21.0,2020-09-07
41041,74,74043,11.0,2020-09-08
41140,74,74043,5.0,2020-09-09
41237,74,74043,20.0,2020-09-10
41337,74,74043,12.0,2020-09-11
41422,74,74043,9.0,2020-09-12
41476,74,74043,14.0,2020-09-14
41574,74,74043,7.0,2020-09-15
41669,74,74043,7.0,2020-09-16
41761,74,74043,10.0,2020-09-17
41860,74,74043,9.0,2020-09-18
41944,74,74043,5.0,2020-09-19
41997,74,74043,22.0,2020-09-21
42095,74,74043,6.0,2020-09-22
42191,74,74043,3.0,2020-09-23
42285,74,74043,12.0,2020-09-24
42383,74,74043,10.0,2020-09-25
42467,74,74043,3.0,2020-09-26
42514,74,74043,24.0,2020-09-28
42612,74,74043,7.0,2020-09-29
42709,74,74043,13.0,2020-09-30
42803,74,74043,14.0,2020-10-01
42900,74,74043,13.0,2020-10-02
42984,74,74043,8.0,2020-10-03
43033,74,74043,31.0,2020-10-05
43129,74,74043,10.0,2020-10-06
43224,74,74043,12.0,2020-10-07
43318,74,74043,10.0,2020-10-08
43414,74,74043,9.0,2020-10-09
43497,74,74043,5.0,2020-10-10
43546,74,74043,39.0,2020-10-12
43642,74,74043,11.0,2020-10-13
43737,74,74043,8.0,2020-10-14
43835,74,74043,13.0,2020-10-15
43928,74,74043,21.0,2020-10-16
44007,74,74043,2.0,2020-10-17
44056,74,74043,31.0,2020-10-19
44152,74,74043,14.0,2020-10-20
44247,74,74043,10.0,2020-10-21
44342,74,74043,9.0,2020-10-22
44439,74,74043,14.0,2020-10-23
44521,74,74043,7.0,2020-10-24
44571,74,74043,30.0,2020-10-26
44668,74,74043,13.0,2020-10-27
44765,74,74043,9.0,2020-10-28
44856,74,74043,13.0,2020-10-29
44948,74,74043,9.0,2020-10-30
45031,74,74043,10.0,2020-10-31
45083,74,74043,34.0,2020-11-02
45182,74,74043,18.0,2020-11-03
45276,74,74043,28.0,2020-11-04
45372,74,74043,26.0,2020-11-05
45468,74,74043,35.0,2020-11-06
45551,74,74043,6.0,2020-11-07
45602,74,74043,22.0,2020-11-09
45701,74,74043,21.0,2020-11-10
45797,74,74043,28.0,2020-11-11
45893,74,74043,55.0,2020-11-12
45989,74,74043,28.0,2020-11-13
46073,74,74043,39.0,2020-11-14
46124,74,74043,94.0,2020-11-16
46219,74,74043,20.0,2020-11-17
46313,74,74043,28.0,2020-11-18
46406,74,74043,33.0,2020-11-19
46503,74,74043,47.0,2020-11-20
46585,74,74043,38.0,2020-11-21
46637,74,74043,75.0,2020-11-23
46736,74,74043,42.0,2020-11-24
46832,74,74043,54.0,2020-11-25
46929,74,74043,41.0,2020-11-26
47026,74,74043,36.0,2020-11-27
47109,74,74043,32.0,2020-11-28
47164,74,74043,72.0,2020-11-30
47259,74,74043,10.0,2020-12-01
47356,74,74043,12.0,2020-12-02
47452,74,74043,9.0,2020-12-03
47546,74,74043,12.0,2020-12-04
47629,74,74043,2.0,2020-12-05
47683,74,74043,29.0,2020-12-07
47782,74,74043,7.0,2020-12-08
47875,74,74043,20.0,2020-12-09
47969,74,74043,17.0,2020-12-10
48067,74,74043,9.0,2020-12-11
48147,74,74043,2.0,2020-12-12
48190,74,74043,28.0,2020-12-14
48285,74,74043,15.0,2020-12-15
48379,74,74043,16.0,2020-12-16
48469,74,74043,19.0,2020-12-17
48561,74,74043,15.0,2020-12-18
48643,74,74043,3.0,2020-12-19
48692,74,74043,38.0,2020-12-21
48786,74,74043,12.0,2020-12-22
48878,74,74043,8.0,2020-12-23
48971,74,74043,11.0,2020-12-24
49065,74,74043,21.0,2020-12-25
49145,74,74043,9.0,2020-12-26
49186,74,74043,28.0,2020-12-28
49277,74,74043,23.0,2020-12-29
49368,74,74043,23.0,2020-12-30
49456,74,74043,25.0,2020-12-31
