y,ds,unique_id
13.0,2020-11-27,H99
56.0,2020-11-30,H99
20.0,2020-12-01,H99
6.0,2020-12-02,H99
15.0,2020-12-03,H99
16.0,2020-12-04,H99
25.0,2020-12-07,H99
8.0,2020-12-08,H99
9.0,2020-12-09,H99
12.0,2020-12-10,H99
14.0,2020-12-11,H99
6.0,2020-12-14,H99
17.0,2020-12-15,H99
9.0,2020-12-16,H99
8.0,2020-12-17,H99
18.0,2020-12-18,H99
11.0,2020-12-21,H99
21.0,2020-12-22,H99
16.0,2020-12-23,H99
9.0,2020-12-24,H99
6.0,2020-12-25,H99
15.0,2020-12-28,H99
13.0,2020-12-29,H99
14.0,2020-12-30,H99
15.0,2020-12-31,H99
5.0,2019-01-01,H89
558.0,2019-01-02,H89
455.0,2019-01-03,H89
418.0,2019-01-04,H89
198.0,2019-01-05,H89
,2019-01-06,H89
480.0,2019-01-07,H89
426.0,2019-01-08,H89
413.0,2019-01-09,H89
407.0,2019-01-10,H89
352.0,2019-01-11,H89
167.0,2019-01-12,H89
,2019-01-13,H89
429.0,2019-01-14,H89
420.0,2019-01-15,H89
327.0,2019-01-16,H89
376.0,2019-01-17,H89
361.0,2019-01-18,H89
152.0,2019-01-19,H89
,2019-01-20,H89
478.0,2019-01-21,H89
421.0,2019-01-22,H89
419.0,2019-01-23,H89
404.0,2019-01-24,H89
395.0,2019-01-25,H89
179.0,2019-01-26,H89
,2019-01-27,H89
615.0,2019-01-28,H89
565.0,2019-01-29,H89
434.0,2019-01-30,H89
441.0,2019-01-31,H89
482.0,2019-02-01,H89
125.0,2019-02-02,H89
,2019-02-03,H89
,2019-02-04,H89
,2019-02-05,H89
,2019-02-06,H89
1.0,2019-02-07,H89
,2019-02-08,H89
,2019-02-09,H89
,2019-02-10,H89
382.0,2019-02-11,H89
450.0,2019-02-12,H89
389.0,2019-02-13,H89
390.0,2019-02-14,H89
389.0,2019-02-15,H89
117.0,2019-02-16,H89
,2019-02-17,H89
388.0,2019-02-18,H89
371.0,2019-02-19,H89
384.0,2019-02-20,H89
382.0,2019-02-21,H89
397.0,2019-02-22,H89
155.0,2019-02-23,H89
,2019-02-24,H89
512.0,2019-02-25,H89
444.0,2019-02-26,H89
340.0,2019-02-27,H89
364.0,2019-02-28,H89
442.0,2019-03-01,H89
135.0,2019-03-02,H89
,2019-03-03,H89
506.0,2019-03-04,H89
423.0,2019-03-05,H89
336.0,2019-03-06,H89
357.0,2019-03-07,H89
399.0,2019-03-08,H89
119.0,2019-03-09,H89
,2019-03-10,H89
522.0,2019-03-11,H89
410.0,2019-03-12,H89
367.0,2019-03-13,H89
396.0,2019-03-14,H89
393.0,2019-03-15,H89
161.0,2019-03-16,H89
,2019-03-17,H89
504.0,2019-03-18,H89
403.0,2019-03-19,H89
366.0,2019-03-20,H89
351.0,2019-03-21,H89
372.0,2019-03-22,H89
159.0,2019-03-23,H89
1.0,2019-03-24,H89
479.0,2019-03-25,H89
6.0,2019-03-26,H89
2.0,2019-03-27,H89
1.0,2019-03-28,H89
130.0,2019-03-29,H89
103.0,2019-03-30,H89
,2019-03-31,H89
302.0,2019-04-01,H89
236.0,2019-04-02,H89
226.0,2019-04-03,H89
242.0,2019-04-04,H89
354.0,2019-04-05,H89
149.0,2019-04-06,H89
,2019-04-07,H89
452.0,2019-04-08,H89
400.0,2019-04-09,H89
389.0,2019-04-10,H89
393.0,2019-04-11,H89
434.0,2019-04-12,H89
119.0,2019-04-13,H89
