,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
78,74,74088,8.0,2019-01-02
172,74,74088,5.0,2019-01-03
266,74,74088,4.0,2019-01-04
449,74,74088,23.0,2019-01-07
544,74,74088,16.0,2019-01-08
640,74,74088,3.0,2019-01-09
734,74,74088,6.0,2019-01-10
828,74,74088,2.0,2019-01-11
953,74,74088,11.0,2019-01-14
1047,74,74088,14.0,2019-01-15
1140,74,74088,16.0,2019-01-16
1233,74,74088,5.0,2019-01-17
1327,74,74088,7.0,2019-01-18
1450,74,74088,10.0,2019-01-21
1546,74,74088,10.0,2019-01-22
1638,74,74088,14.0,2019-01-23
1730,74,74088,7.0,2019-01-24
1824,74,74088,12.0,2019-01-25
1950,74,74088,15.0,2019-01-28
2134,74,74088,22.0,2019-01-30
2226,74,74088,11.0,2019-01-31
2316,74,74088,14.0,2019-02-01
2489,74,74088,11.0,2019-02-11
2579,74,74088,13.0,2019-02-12
2671,74,74088,12.0,2019-02-13
2762,74,74088,7.0,2019-02-14
2856,74,74088,4.0,2019-02-15
2983,74,74088,17.0,2019-02-18
3077,74,74088,1.0,2019-02-19
3171,74,74088,2.0,2019-02-20
3262,74,74088,8.0,2019-02-21
3359,74,74088,7.0,2019-02-22
3487,74,74088,26.0,2019-02-25
3584,74,74088,15.0,2019-02-26
3677,74,74088,12.0,2019-02-27
3769,74,74088,7.0,2019-02-28
3865,74,74088,12.0,2019-03-01
3992,74,74088,12.0,2019-03-04
4087,74,74088,8.0,2019-03-05
4183,74,74088,5.0,2019-03-06
4276,74,74088,15.0,2019-03-07
4498,74,74088,21.0,2019-03-11
4594,74,74088,14.0,2019-03-12
4690,74,74088,6.0,2019-03-13
4784,74,74088,13.0,2019-03-14
4878,74,74088,9.0,2019-03-15
5003,74,74088,7.0,2019-03-18
5194,74,74088,15.0,2019-03-20
5286,74,74088,9.0,2019-03-21
5379,74,74088,7.0,2019-03-22
5503,74,74088,11.0,2019-03-25
5701,74,74088,5.0,2019-03-29
5824,74,74088,5.0,2019-04-01
5914,74,74088,8.0,2019-04-02
6004,74,74088,4.0,2019-04-03
6093,74,74088,8.0,2019-04-04
6311,74,74088,16.0,2019-04-08
6405,74,74088,24.0,2019-04-09
6591,74,74088,17.0,2019-04-11
6684,74,74088,11.0,2019-04-12
6817,74,74088,11.0,2019-04-16
6912,74,74088,13.0,2019-04-17
7005,74,74088,5.0,2019-04-18
7101,74,74088,5.0,2019-04-19
7228,74,74088,22.0,2019-04-22
7324,74,74088,7.0,2019-04-23
7418,74,74088,1.0,2019-04-24
7512,74,74088,2.0,2019-04-25
7607,74,74088,17.0,2019-04-26
7762,74,74088,17.0,2019-05-02
7857,74,74088,11.0,2019-05-03
7940,74,74088,7.0,2019-05-04
8043,74,74088,15.0,2019-05-06
8136,74,74088,14.0,2019-05-07
8231,74,74088,20.0,2019-05-08
8324,74,74088,3.0,2019-05-09
8420,74,74088,5.0,2019-05-10
8544,74,74088,7.0,2019-05-13
8639,74,74088,8.0,2019-05-14
8733,74,74088,6.0,2019-05-15
8824,74,74088,20.0,2019-05-16
8918,74,74088,12.0,2019-05-17
9041,74,74088,11.0,2019-05-20
9138,74,74088,5.0,2019-05-21
9330,74,74088,20.0,2019-05-23
9428,74,74088,13.0,2019-05-24
9555,74,74088,9.0,2019-05-27
9651,74,74088,4.0,2019-05-28
9745,74,74088,9.0,2019-05-29
9841,74,74088,5.0,2019-05-30
9937,74,74088,2.0,2019-05-31
10058,74,74088,10.0,2019-06-03
10152,74,74088,10.0,2019-06-04
10247,74,74088,3.0,2019-06-05
10340,74,74088,14.0,2019-06-06
10434,74,74088,16.0,2019-06-07
10559,74,74088,14.0,2019-06-10
