,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
40761,74,74099,9.0,2020-09-03
40857,74,74099,6.0,2020-09-04
40995,74,74099,14.0,2020-09-07
41094,74,74099,17.0,2020-09-08
41193,74,74099,14.0,2020-09-09
41290,74,74099,15.0,2020-09-10
41390,74,74099,20.0,2020-09-11
41529,74,74099,13.0,2020-09-14
41625,74,74099,9.0,2020-09-15
41719,74,74099,7.0,2020-09-16
41814,74,74099,11.0,2020-09-17
41913,74,74099,13.0,2020-09-18
42050,74,74099,5.0,2020-09-21
42148,74,74099,2.0,2020-09-22
42244,74,74099,19.0,2020-09-23
42338,74,74099,10.0,2020-09-24
42436,74,74099,16.0,2020-09-25
42567,74,74099,13.0,2020-09-28
42666,74,74099,2.0,2020-09-29
42762,74,74099,7.0,2020-09-30
42856,74,74099,21.0,2020-10-01
42953,74,74099,15.0,2020-10-02
43086,74,74099,6.0,2020-10-05
43182,74,74099,7.0,2020-10-06
43277,74,74099,4.0,2020-10-07
43370,74,74099,12.0,2020-10-08
43467,74,74099,20.0,2020-10-09
43599,74,74099,8.0,2020-10-12
43695,74,74099,5.0,2020-10-13
43790,74,74099,11.0,2020-10-14
43886,74,74099,6.0,2020-10-15
43977,74,74099,15.0,2020-10-16
44109,74,74099,5.0,2020-10-19
44204,74,74099,6.0,2020-10-20
44300,74,74099,12.0,2020-10-21
44395,74,74099,10.0,2020-10-22
44492,74,74099,6.0,2020-10-23
44624,74,74099,26.0,2020-10-26
44721,74,74099,17.0,2020-10-27
44816,74,74099,11.0,2020-10-28
44909,74,74099,10.0,2020-10-29
45001,74,74099,11.0,2020-10-30
45136,74,74099,14.0,2020-11-02
45235,74,74099,9.0,2020-11-03
45329,74,74099,10.0,2020-11-04
45424,74,74099,7.0,2020-11-05
45521,74,74099,15.0,2020-11-06
45655,74,74099,16.0,2020-11-09
45753,74,74099,8.0,2020-11-10
45850,74,74099,5.0,2020-11-11
45945,74,74099,9.0,2020-11-12
46042,74,74099,17.0,2020-11-13
46174,74,74099,7.0,2020-11-16
46272,74,74099,8.0,2020-11-17
46366,74,74099,7.0,2020-11-18
46458,74,74099,8.0,2020-11-19
46555,74,74099,5.0,2020-11-20
46690,74,74099,14.0,2020-11-23
46789,74,74099,9.0,2020-11-24
46885,74,74099,9.0,2020-11-25
46982,74,74099,17.0,2020-11-26
47079,74,74099,13.0,2020-11-27
47218,74,74099,56.0,2020-11-30
47312,74,74099,20.0,2020-12-01
47409,74,74099,6.0,2020-12-02
47504,74,74099,15.0,2020-12-03
47600,74,74099,16.0,2020-12-04
47737,74,74099,25.0,2020-12-07
47835,74,74099,8.0,2020-12-08
47928,74,74099,9.0,2020-12-09
48022,74,74099,12.0,2020-12-10
48118,74,74099,14.0,2020-12-11
48243,74,74099,6.0,2020-12-14
48336,74,74099,17.0,2020-12-15
48429,74,74099,9.0,2020-12-16
48521,74,74099,8.0,2020-12-17
48615,74,74099,18.0,2020-12-18
48746,74,74099,11.0,2020-12-21
48839,74,74099,21.0,2020-12-22
48932,74,74099,16.0,2020-12-23
49025,74,74099,9.0,2020-12-24
49119,74,74099,6.0,2020-12-25
49240,74,74099,15.0,2020-12-28
49331,74,74099,13.0,2020-12-29
49422,74,74099,14.0,2020-12-30
49509,74,74099,15.0,2020-12-31
