,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
8956,74,74089,108.0,2019-05-18
8968,74,74089,,2019-05-19
9042,74,74089,448.0,2019-05-20
9139,74,74089,341.0,2019-05-21
9236,74,74089,359.0,2019-05-22
9331,74,74089,373.0,2019-05-23
9429,74,74089,405.0,2019-05-24
9466,74,74089,122.0,2019-05-25
9481,74,74089,,2019-05-26
9556,74,74089,464.0,2019-05-27
9652,74,74089,393.0,2019-05-28
9746,74,74089,320.0,2019-05-29
9842,74,74089,369.0,2019-05-30
9938,74,74089,368.0,2019-05-31
9976,74,74089,126.0,2019-06-01
9987,74,74089,,2019-06-02
10059,74,74089,453.0,2019-06-03
10153,74,74089,420.0,2019-06-04
10248,74,74089,352.0,2019-06-05
10341,74,74089,403.0,2019-06-06
10435,74,74089,338.0,2019-06-07
10474,74,74089,144.0,2019-06-08
10487,74,74089,,2019-06-09
10560,74,74089,542.0,2019-06-10
10654,74,74089,485.0,2019-06-11
10749,74,74089,387.0,2019-06-12
10845,74,74089,386.0,2019-06-13
10938,74,74089,370.0,2019-06-14
10975,74,74089,104.0,2019-06-15
10986,74,74089,1.0,2019-06-16
11058,74,74089,522.0,2019-06-17
11152,74,74089,407.0,2019-06-18
11247,74,74089,389.0,2019-06-19
11343,74,74089,383.0,2019-06-20
11435,74,74089,399.0,2019-06-21
11474,74,74089,119.0,2019-06-22
11485,74,74089,,2019-06-23
11560,74,74089,503.0,2019-06-24
11653,74,74089,458.0,2019-06-25
11751,74,74089,401.0,2019-06-26
11845,74,74089,430.0,2019-06-27
11937,74,74089,397.0,2019-06-28
11975,74,74089,128.0,2019-06-29
11987,74,74089,,2019-06-30
12060,74,74089,504.0,2019-07-01
12154,74,74089,496.0,2019-07-02
12250,74,74089,369.0,2019-07-03
12344,74,74089,445.0,2019-07-04
12441,74,74089,372.0,2019-07-05
12479,74,74089,126.0,2019-07-06
12490,74,74089,,2019-07-07
12566,74,74089,521.0,2019-07-08
12664,74,74089,470.0,2019-07-09
12759,74,74089,403.0,2019-07-10
12851,74,74089,428.0,2019-07-11
12946,74,74089,416.0,2019-07-12
12986,74,74089,122.0,2019-07-13
13000,74,74089,,2019-07-14
13075,74,74089,423.0,2019-07-15
13171,74,74089,452.0,2019-07-16
13264,74,74089,393.0,2019-07-17
13356,74,74089,398.0,2019-07-18
13447,74,74089,377.0,2019-07-19
13486,74,74089,118.0,2019-07-20
13498,74,74089,,2019-07-21
13572,74,74089,546.0,2019-07-22
13667,74,74089,461.0,2019-07-23
13762,74,74089,422.0,2019-07-24
13856,74,74089,466.0,2019-07-25
13950,74,74089,422.0,2019-07-26
13989,74,74089,119.0,2019-07-27
14000,74,74089,,2019-07-28
14076,74,74089,468.0,2019-07-29
14173,74,74089,427.0,2019-07-30
14268,74,74089,399.0,2019-07-31
14358,74,74089,370.0,2019-08-01
14451,74,74089,423.0,2019-08-02
14488,74,74089,134.0,2019-08-03
14499,74,74089,,2019-08-04
14574,74,74089,572.0,2019-08-05
14669,74,74089,440.0,2019-08-06
14763,74,74089,441.0,2019-08-07
14856,74,74089,425.0,2019-08-08
14950,74,74089,507.0,2019-08-09
14988,74,74089,133.0,2019-08-10
14999,74,74089,,2019-08-11
15074,74,74089,496.0,2019-08-12
15167,74,74089,429.0,2019-08-13
15209,74,74089,2.0,2019-08-14
15230,74,74089,2.0,2019-08-15
15251,74,74089,3.0,2019-08-16
15265,74,74089,2.0,2019-08-17
15297,74,74089,7.0,2019-08-19
15325,74,74089,4.0,2019-08-20
15350,74,74089,4.0,2019-08-21
15376,74,74089,3.0,2019-08-22
15400,74,74089,2.0,2019-08-23
15415,74,74089,,2019-08-24
15427,74,74089,,2019-08-25
15449,74,74089,1.0,2019-08-26
15478,74,74089,3.0,2019-08-27
15507,74,74089,8.0,2019-08-28
15539,74,74089,2.0,2019-08-29
15610,74,74089,395.0,2019-08-30
15649,74,74089,194.0,2019-08-31
15660,74,74089,4.0,2019-09-01
15671,74,74089,,2019-09-02
15742,74,74089,549.0,2019-09-03
15832,74,74089,508.0,2019-09-04
15922,74,74089,446.0,2019-09-05
16015,74,74089,471.0,2019-09-06
16053,74,74089,178.0,2019-09-07
16065,74,74089,,2019-09-08
16137,74,74089,565.0,2019-09-09
16229,74,74089,512.0,2019-09-10
16320,74,74089,405.0,2019-09-11
16409,74,74089,411.0,2019-09-12
16501,74,74089,439.0,2019-09-13
16539,74,74089,191.0,2019-09-14
16550,74,74089,1.0,2019-09-15
16620,74,74089,516.0,2019-09-16
16709,74,74089,442.0,2019-09-17
16801,74,74089,409.0,2019-09-18
16893,74,74089,512.0,2019-09-19
16984,74,74089,518.0,2019-09-20
17021,74,74089,200.0,2019-09-21
17032,74,74089,,2019-09-22
17104,74,74089,574.0,2019-09-23
17199,74,74089,383.0,2019-09-24
17291,74,74089,451.0,2019-09-25
17378,74,74089,439.0,2019-09-26
17468,74,74089,439.0,2019-09-27
17507,74,74089,149.0,2019-09-28
17518,74,74089,,2019-09-29
17588,74,74089,529.0,2019-09-30
17678,74,74089,435.0,2019-10-01
17765,74,74089,422.0,2019-10-02
17854,74,74089,445.0,2019-10-03
17944,74,74089,490.0,2019-10-04
17980,74,74089,148.0,2019-10-05
17990,74,74089,,2019-10-06
18061,74,74089,521.0,2019-10-07
18152,74,74089,417.0,2019-10-08
18244,74,74089,403.0,2019-10-09
18336,74,74089,403.0,2019-10-10
18428,74,74089,454.0,2019-10-11
18466,74,74089,158.0,2019-10-12
18476,74,74089,,2019-10-13
18547,74,74089,501.0,2019-10-14
18641,74,74089,474.0,2019-10-15
18734,74,74089,410.0,2019-10-16
18822,74,74089,397.0,2019-10-17
18914,74,74089,429.0,2019-10-18
18952,74,74089,157.0,2019-10-19
18963,74,74089,,2019-10-20
19036,74,74089,471.0,2019-10-21
19126,74,74089,488.0,2019-10-22
19215,74,74089,420.0,2019-10-23
19305,74,74089,364.0,2019-10-24
19396,74,74089,413.0,2019-10-25
19431,74,74089,154.0,2019-10-26
19440,74,74089,,2019-10-27
19508,74,74089,473.0,2019-10-28
19597,74,74089,364.0,2019-10-29
19687,74,74089,359.0,2019-10-30
19774,74,74089,355.0,2019-10-31
19866,74,74089,399.0,2019-11-01
19903,74,74089,141.0,2019-11-02
19913,74,74089,,2019-11-03
19985,74,74089,509.0,2019-11-04
20076,74,74089,390.0,2019-11-05
20167,74,74089,384.0,2019-11-06
20258,74,74089,405.0,2019-11-07
20350,74,74089,378.0,2019-11-08
20387,74,74089,164.0,2019-11-09
20398,74,74089,,2019-11-10
20468,74,74089,350.0,2019-11-11
20562,74,74089,514.0,2019-11-12
20653,74,74089,354.0,2019-11-13
20747,74,74089,380.0,2019-11-14
20839,74,74089,435.0,2019-11-15
20876,74,74089,139.0,2019-11-16
20886,74,74089,,2019-11-17
20955,74,74089,446.0,2019-11-18
21046,74,74089,387.0,2019-11-19
21140,74,74089,366.0,2019-11-20
21232,74,74089,359.0,2019-11-21
21323,74,74089,405.0,2019-11-22
21359,74,74089,153.0,2019-11-23
21370,74,74089,,2019-11-24
21442,74,74089,482.0,2019-11-25
21536,74,74089,386.0,2019-11-26
21625,74,74089,369.0,2019-11-27
21716,74,74089,342.0,2019-11-28
21808,74,74089,378.0,2019-11-29
21846,74,74089,150.0,2019-11-30
21855,74,74089,1.0,2019-12-01
21926,74,74089,441.0,2019-12-02
22013,74,74089,391.0,2019-12-03
22104,74,74089,334.0,2019-12-04
22193,74,74089,402.0,2019-12-05
22281,74,74089,389.0,2019-12-06
22318,74,74089,132.0,2019-12-07
22330,74,74089,,2019-12-08
22403,74,74089,442.0,2019-12-09
22490,74,74089,343.0,2019-12-10
22579,74,74089,367.0,2019-12-11
22672,74,74089,403.0,2019-12-12
22763,74,74089,416.0,2019-12-13
22799,74,74089,136.0,2019-12-14
22810,74,74089,,2019-12-15
22877,74,74089,433.0,2019-12-16
22968,74,74089,370.0,2019-12-17
23055,74,74089,338.0,2019-12-18
23141,74,74089,350.0,2019-12-19
23227,74,74089,331.0,2019-12-20
23261,74,74089,128.0,2019-12-21
23271,74,74089,,2019-12-22
23335,74,74089,381.0,2019-12-23
23421,74,74089,353.0,2019-12-24
23506,74,74089,296.0,2019-12-25
23588,74,74089,342.0,2019-12-26
23671,74,74089,338.0,2019-12-27
23706,74,74089,103.0,2019-12-28
23715,74,74089,,2019-12-29
23777,74,74089,391.0,2019-12-30
23851,74,74089,305.0,2019-12-31
