,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
6,74,74089,5.0,2019-01-01
79,74,74089,558.0,2019-01-02
173,74,74089,455.0,2019-01-03
267,74,74089,418.0,2019-01-04
345,74,74089,198.0,2019-01-05
376,74,74089,,2019-01-06
450,74,74089,480.0,2019-01-07
545,74,74089,426.0,2019-01-08
641,74,74089,413.0,2019-01-09
735,74,74089,407.0,2019-01-10
829,74,74089,352.0,2019-01-11
870,74,74089,167.0,2019-01-12
882,74,74089,,2019-01-13
954,74,74089,429.0,2019-01-14
1048,74,74089,420.0,2019-01-15
1141,74,74089,327.0,2019-01-16
1234,74,74089,376.0,2019-01-17
1328,74,74089,361.0,2019-01-18
1366,74,74089,152.0,2019-01-19
1378,74,74089,,2019-01-20
1451,74,74089,478.0,2019-01-21
1547,74,74089,421.0,2019-01-22
1639,74,74089,419.0,2019-01-23
1731,74,74089,404.0,2019-01-24
1825,74,74089,395.0,2019-01-25
1863,74,74089,179.0,2019-01-26
1875,74,74089,,2019-01-27
1951,74,74089,615.0,2019-01-28
2043,74,74089,565.0,2019-01-29
2135,74,74089,434.0,2019-01-30
2227,74,74089,441.0,2019-01-31
2317,74,74089,482.0,2019-02-01
2352,74,74089,125.0,2019-02-02
2363,74,74089,,2019-02-03
2372,74,74089,,2019-02-04
2379,74,74089,,2019-02-05
2385,74,74089,,2019-02-06
2391,74,74089,1.0,2019-02-07
2399,74,74089,,2019-02-08
2409,74,74089,,2019-02-09
2421,74,74089,,2019-02-10
2490,74,74089,382.0,2019-02-11
2580,74,74089,450.0,2019-02-12
2672,74,74089,389.0,2019-02-13
2763,74,74089,390.0,2019-02-14
2857,74,74089,389.0,2019-02-15
2898,74,74089,117.0,2019-02-16
2911,74,74089,,2019-02-17
2984,74,74089,388.0,2019-02-18
3078,74,74089,371.0,2019-02-19
3172,74,74089,384.0,2019-02-20
3263,74,74089,382.0,2019-02-21
3360,74,74089,397.0,2019-02-22
3401,74,74089,155.0,2019-02-23
3413,74,74089,,2019-02-24
3488,74,74089,512.0,2019-02-25
3585,74,74089,444.0,2019-02-26
3678,74,74089,340.0,2019-02-27
3770,74,74089,364.0,2019-02-28
3866,74,74089,442.0,2019-03-01
3906,74,74089,135.0,2019-03-02
3919,74,74089,,2019-03-03
3993,74,74089,506.0,2019-03-04
4088,74,74089,423.0,2019-03-05
4184,74,74089,336.0,2019-03-06
4277,74,74089,357.0,2019-03-07
4371,74,74089,399.0,2019-03-08
4412,74,74089,119.0,2019-03-09
4425,74,74089,,2019-03-10
4499,74,74089,522.0,2019-03-11
4595,74,74089,410.0,2019-03-12
4691,74,74089,367.0,2019-03-13
4785,74,74089,396.0,2019-03-14
4879,74,74089,393.0,2019-03-15
4917,74,74089,161.0,2019-03-16
4930,74,74089,,2019-03-17
5004,74,74089,504.0,2019-03-18
5098,74,74089,403.0,2019-03-19
5195,74,74089,366.0,2019-03-20
5287,74,74089,351.0,2019-03-21
5380,74,74089,372.0,2019-03-22
5419,74,74089,159.0,2019-03-23
5430,74,74089,1.0,2019-03-24
5504,74,74089,479.0,2019-03-25
5547,74,74089,6.0,2019-03-26
5577,74,74089,2.0,2019-03-27
5622,74,74089,1.0,2019-03-28
5702,74,74089,130.0,2019-03-29
5739,74,74089,103.0,2019-03-30
5752,74,74089,,2019-03-31
5825,74,74089,302.0,2019-04-01
5915,74,74089,236.0,2019-04-02
6005,74,74089,226.0,2019-04-03
6094,74,74089,242.0,2019-04-04
6186,74,74089,354.0,2019-04-05
6224,74,74089,149.0,2019-04-06
6236,74,74089,,2019-04-07
6312,74,74089,452.0,2019-04-08
6406,74,74089,400.0,2019-04-09
6499,74,74089,389.0,2019-04-10
6592,74,74089,393.0,2019-04-11
6685,74,74089,434.0,2019-04-12
6723,74,74089,119.0,2019-04-13
6734,74,74089,,2019-04-14
6747,74,74089,,2019-04-15
6818,74,74089,577.0,2019-04-16
6913,74,74089,445.0,2019-04-17
7006,74,74089,404.0,2019-04-18
7102,74,74089,412.0,2019-04-19
7140,74,74089,138.0,2019-04-20
7152,74,74089,,2019-04-21
7229,74,74089,468.0,2019-04-22
7325,74,74089,391.0,2019-04-23
7419,74,74089,327.0,2019-04-24
7513,74,74089,366.0,2019-04-25
7608,74,74089,460.0,2019-04-26
7643,74,74089,141.0,2019-04-27
7657,74,74089,,2019-04-28
7671,74,74089,,2019-04-29
7682,74,74089,,2019-04-30
7691,74,74089,,2019-05-01
7763,74,74089,566.0,2019-05-02
7858,74,74089,476.0,2019-05-03
7941,74,74089,211.0,2019-05-04
7969,74,74089,7.0,2019-05-05
8044,74,74089,438.0,2019-05-06
8137,74,74089,385.0,2019-05-07
8232,74,74089,352.0,2019-05-08
8325,74,74089,310.0,2019-05-09
8421,74,74089,309.0,2019-05-10
8458,74,74089,135.0,2019-05-11
8470,74,74089,,2019-05-12
8545,74,74089,495.0,2019-05-13
8640,74,74089,365.0,2019-05-14
8734,74,74089,394.0,2019-05-15
8825,74,74089,380.0,2019-05-16
8919,74,74089,330.0,2019-05-17
