,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
25483,74,74020,3.0,2020-02-03
25572,74,74020,5.0,2020-02-04
25661,74,74020,7.0,2020-02-05
25840,74,74020,4.0,2020-02-07
25956,74,74020,5.0,2020-02-10
26045,74,74020,2.0,2020-02-11
26130,74,74020,2.0,2020-02-12
26216,74,74020,2.0,2020-02-13
26304,74,74020,5.0,2020-02-14
26423,74,74020,6.0,2020-02-17
26603,74,74020,1.0,2020-02-19
26694,74,74020,7.0,2020-02-20
26782,74,74020,1.0,2020-02-21
26908,74,74020,3.0,2020-02-24
27001,74,74020,2.0,2020-02-25
27096,74,74020,13.0,2020-02-26
27190,74,74020,1.0,2020-02-27
27278,74,74020,3.0,2020-02-28
27406,74,74020,6.0,2020-03-02
27501,74,74020,3.0,2020-03-03
27779,74,74020,2.0,2020-03-06
27908,74,74020,2.0,2020-03-09
28004,74,74020,6.0,2020-03-10
28103,74,74020,3.0,2020-03-11
28196,74,74020,1.0,2020-03-12
28293,74,74020,3.0,2020-03-13
28427,74,74020,10.0,2020-03-16
28523,74,74020,4.0,2020-03-17
28622,74,74020,4.0,2020-03-18
28809,74,74020,1.0,2020-03-20
28943,74,74020,2.0,2020-03-23
29042,74,74020,3.0,2020-03-24
29139,74,74020,4.0,2020-03-25
29231,74,74020,2.0,2020-03-26
29329,74,74020,22.0,2020-03-27
29459,74,74020,4.0,2020-03-30
29555,74,74020,9.0,2020-03-31
29763,74,74020,3.0,2020-04-03
29893,74,74020,4.0,2020-04-06
29989,74,74020,3.0,2020-04-07
30085,74,74020,3.0,2020-04-08
30274,74,74020,2.0,2020-04-10
30404,74,74020,5.0,2020-04-13
30599,74,74020,2.0,2020-04-15
30694,74,74020,7.0,2020-04-16
30796,74,74020,4.0,2020-04-17
30927,74,74020,11.0,2020-04-20
31022,74,74020,4.0,2020-04-21
31209,74,74020,3.0,2020-04-23
31437,74,74020,8.0,2020-04-27
31534,74,74020,6.0,2020-04-28
31631,74,74020,5.0,2020-04-29
31789,74,74020,1.0,2020-05-04
32048,74,74020,8.0,2020-05-07
32280,74,74020,5.0,2020-05-11
32376,74,74020,3.0,2020-05-12
32473,74,74020,3.0,2020-05-13
32661,74,74020,11.0,2020-05-15
32794,74,74020,7.0,2020-05-18
32894,74,74020,1.0,2020-05-19
32991,74,74020,5.0,2020-05-20
33185,74,74020,5.0,2020-05-22
33417,74,74020,2.0,2020-05-26
33517,74,74020,6.0,2020-05-27
33615,74,74020,5.0,2020-05-28
33709,74,74020,1.0,2020-05-29
33843,74,74020,1.0,2020-06-01
33940,74,74020,8.0,2020-06-02
34133,74,74020,2.0,2020-06-04
34231,74,74020,4.0,2020-06-05
34362,74,74020,2.0,2020-06-08
34556,74,74020,3.0,2020-06-10
34651,74,74020,5.0,2020-06-11
34749,74,74020,3.0,2020-06-12
34886,74,74020,6.0,2020-06-15
35075,74,74020,2.0,2020-06-17
35170,74,74020,5.0,2020-06-18
35269,74,74020,3.0,2020-06-19
35403,74,74020,1.0,2020-06-22
35500,74,74020,3.0,2020-06-23
35597,74,74020,6.0,2020-06-24
35690,74,74020,1.0,2020-06-25
35789,74,74020,6.0,2020-06-26
35922,74,74020,8.0,2020-06-29
36111,74,74020,3.0,2020-07-01
36206,74,74020,2.0,2020-07-02
36303,74,74020,5.0,2020-07-03
36435,74,74020,3.0,2020-07-06
36531,74,74020,6.0,2020-07-07
36629,74,74020,4.0,2020-07-08
36950,74,74020,2.0,2020-07-13
37048,74,74020,3.0,2020-07-14
37229,74,74020,2.0,2020-07-16
37318,74,74020,5.0,2020-07-17
37444,74,74020,2.0,2020-07-20
37628,74,74020,3.0,2020-07-22
37812,74,74020,2.0,2020-07-24
38112,74,74020,1.0,2020-07-29
38200,74,74020,4.0,2020-07-30
38293,74,74020,1.0,2020-07-31
38415,74,74020,5.0,2020-08-03
38924,74,74020,5.0,2020-08-10
39020,74,74020,2.0,2020-08-11
39119,74,74020,2.0,2020-08-12
39311,74,74020,1.0,2020-08-14
39444,74,74020,4.0,2020-08-17
39638,74,74020,2.0,2020-08-19
39735,74,74020,1.0,2020-08-20
39834,74,74020,1.0,2020-08-21
39967,74,74020,1.0,2020-08-24
40066,74,74020,4.0,2020-08-25
40163,74,74020,2.0,2020-08-26
40259,74,74020,1.0,2020-08-27
40357,74,74020,5.0,2020-08-28
40495,74,74020,1.0,2020-08-31
40702,74,74020,4.0,2020-09-03
40798,74,74020,1.0,2020-09-04
40936,74,74020,1.0,2020-09-07
