,MA_TINH,MA_BV,KHAM_BENH,NGAY_DULIEU
21,74,74016,6.0,2019-01-02
209,74,74016,4.0,2019-01-04
392,74,74016,2.0,2019-01-07
488,74,74016,2.0,2019-01-08
584,74,74016,2.0,2019-01-09
678,74,74016,1.0,2019-01-10
897,74,74016,2.0,2019-01-14
991,74,74016,5.0,2019-01-15
1176,74,74016,5.0,2019-01-17
1270,74,74016,2.0,2019-01-18
1392,74,74016,1.0,2019-01-21
1488,74,74016,4.0,2019-01-22
1582,74,74016,7.0,2019-01-23
1676,74,74016,1.0,2019-01-24
1767,74,74016,3.0,2019-01-25
1892,74,74016,5.0,2019-01-28
1986,74,74016,2.0,2019-01-29
2078,74,74016,6.0,2019-01-30
2170,74,74016,12.0,2019-01-31
2261,74,74016,7.0,2019-02-01
2434,74,74016,1.0,2019-02-11
2525,74,74016,1.0,2019-02-12
2617,74,74016,2.0,2019-02-13
2800,74,74016,6.0,2019-02-15
3022,74,74016,3.0,2019-02-19
3115,74,74016,4.0,2019-02-20
3208,74,74016,1.0,2019-02-21
3301,74,74016,6.0,2019-02-22
3429,74,74016,4.0,2019-02-25
3526,74,74016,2.0,2019-02-26
3621,74,74016,5.0,2019-02-27
3714,74,74016,6.0,2019-02-28
3808,74,74016,3.0,2019-03-01
3934,74,74016,5.0,2019-03-04
4029,74,74016,4.0,2019-03-05
4125,74,74016,1.0,2019-03-06
4313,74,74016,1.0,2019-03-08
4440,74,74016,11.0,2019-03-11
4537,74,74016,6.0,2019-03-12
4633,74,74016,1.0,2019-03-13
4728,74,74016,1.0,2019-03-14
4821,74,74016,1.0,2019-03-15
4946,74,74016,1.0,2019-03-18
5041,74,74016,9.0,2019-03-19
5136,74,74016,2.0,2019-03-20
5231,74,74016,1.0,2019-03-21
5322,74,74016,3.0,2019-03-22
5446,74,74016,2.0,2019-03-25
5646,74,74016,1.0,2019-03-29
5859,74,74016,2.0,2019-04-02
5948,74,74016,2.0,2019-04-03
6037,74,74016,3.0,2019-04-04
6129,74,74016,7.0,2019-04-05
6347,74,74016,8.0,2019-04-09
6442,74,74016,1.0,2019-04-10
6534,74,74016,5.0,2019-04-11
6762,74,74016,10.0,2019-04-16
6855,74,74016,2.0,2019-04-17
6948,74,74016,3.0,2019-04-18
7043,74,74016,4.0,2019-04-19
7170,74,74016,1.0,2019-04-22
7266,74,74016,12.0,2019-04-23
7361,74,74016,1.0,2019-04-24
7550,74,74016,8.0,2019-04-26
7705,74,74016,1.0,2019-05-02
7799,74,74016,2.0,2019-05-03
7891,74,74016,6.0,2019-05-04
7985,74,74016,1.0,2019-05-06
8079,74,74016,9.0,2019-05-07
8175,74,74016,3.0,2019-05-08
8269,74,74016,3.0,2019-05-09
8362,74,74016,2.0,2019-05-10
8486,74,74016,6.0,2019-05-13
8581,74,74016,5.0,2019-05-14
8677,74,74016,2.0,2019-05-15
8862,74,74016,3.0,2019-05-17
8983,74,74016,11.0,2019-05-20
9080,74,74016,1.0,2019-05-21
9178,74,74016,3.0,2019-05-22
9273,74,74016,4.0,2019-05-23
9370,74,74016,2.0,2019-05-24
9593,74,74016,4.0,2019-05-28
9688,74,74016,3.0,2019-05-29
9784,74,74016,1.0,2019-05-30
9880,74,74016,6.0,2019-05-31
10002,74,74016,1.0,2019-06-03
10095,74,74016,4.0,2019-06-04
10191,74,74016,3.0,2019-06-05
10284,74,74016,1.0,2019-06-06
10502,74,74016,4.0,2019-06-10
10597,74,74016,1.0,2019-06-11
10692,74,74016,8.0,2019-06-12
10787,74,74016,1.0,2019-06-13
10882,74,74016,9.0,2019-06-14
11095,74,74016,4.0,2019-06-18
11190,74,74016,4.0,2019-06-19
11286,74,74016,3.0,2019-06-20
11379,74,74016,4.0,2019-06-21
11502,74,74016,3.0,2019-06-24
11692,74,74016,7.0,2019-06-26
11788,74,74016,5.0,2019-06-27
11881,74,74016,6.0,2019-06-28
12004,74,74016,5.0,2019-07-01
12096,74,74016,7.0,2019-07-02
12192,74,74016,1.0,2019-07-03
12288,74,74016,3.0,2019-07-04
12383,74,74016,3.0,2019-07-05
12509,74,74016,5.0,2019-07-08
12606,74,74016,1.0,2019-07-09
12701,74,74016,3.0,2019-07-10
12794,74,74016,3.0,2019-07-11
13017,74,74016,2.0,2019-07-15
13113,74,74016,2.0,2019-07-16
13208,74,74016,3.0,2019-07-17
13301,74,74016,2.0,2019-07-18
13516,74,74016,3.0,2019-07-22
13610,74,74016,10.0,2019-07-23
13705,74,74016,5.0,2019-07-24
13799,74,74016,6.0,2019-07-25
13892,74,74016,2.0,2019-07-26
14018,74,74016,4.0,2019-07-29
14115,74,74016,5.0,2019-07-30
14211,74,74016,5.0,2019-07-31
14395,74,74016,2.0,2019-08-02
14516,74,74016,3.0,2019-08-05
14611,74,74016,1.0,2019-08-06
14893,74,74016,2.0,2019-08-09
15016,74,74016,5.0,2019-08-12
15110,74,74016,1.0,2019-08-13
15554,74,74016,5.0,2019-08-30
15685,74,74016,1.0,2019-09-03
15776,74,74016,1.0,2019-09-04
15867,74,74016,2.0,2019-09-05
15958,74,74016,2.0,2019-09-06
16080,74,74016,1.0,2019-09-09
16172,74,74016,7.0,2019-09-10
16263,74,74016,8.0,2019-09-11
16353,74,74016,2.0,2019-09-12
16444,74,74016,1.0,2019-09-13
16565,74,74016,1.0,2019-09-16
16655,74,74016,1.0,2019-09-17
16745,74,74016,1.0,2019-09-18
16838,74,74016,4.0,2019-09-19
16928,74,74016,4.0,2019-09-20
17047,74,74016,4.0,2019-09-23
17142,74,74016,4.0,2019-09-24
17235,74,74016,1.0,2019-09-25
17325,74,74016,1.0,2019-09-26
17413,74,74016,2.0,2019-09-27
17532,74,74016,5.0,2019-09-30
17625,74,74016,1.0,2019-10-01
17799,74,74016,1.0,2019-10-03
17890,74,74016,5.0,2019-10-04
18004,74,74016,5.0,2019-10-07
18097,74,74016,3.0,2019-10-08
18188,74,74016,5.0,2019-10-09
18282,74,74016,4.0,2019-10-10
18372,74,74016,1.0,2019-10-11
18490,74,74016,8.0,2019-10-14
18586,74,74016,1.0,2019-10-15
18678,74,74016,2.0,2019-10-16
18859,74,74016,5.0,2019-10-18
18979,74,74016,5.0,2019-10-21
19158,74,74016,7.0,2019-10-23
19248,74,74016,2.0,2019-10-24
19339,74,74016,1.0,2019-10-25
19452,74,74016,2.0,2019-10-28
19541,74,74016,5.0,2019-10-29
19630,74,74016,2.0,2019-10-30
19719,74,74016,8.0,2019-10-31
19809,74,74016,2.0,2019-11-01
19928,74,74016,7.0,2019-11-04
20020,74,74016,3.0,2019-11-05
20111,74,74016,1.0,2019-11-06
20203,74,74016,1.0,2019-11-07
20293,74,74016,2.0,2019-11-08
20412,74,74016,2.0,2019-11-11
20505,74,74016,5.0,2019-11-12
20597,74,74016,1.0,2019-11-13
20784,74,74016,1.0,2019-11-15
20991,74,74016,1.0,2019-11-19
21083,74,74016,4.0,2019-11-20
21177,74,74016,1.0,2019-11-21
21266,74,74016,3.0,2019-11-22
21386,74,74016,3.0,2019-11-25
21479,74,74016,5.0,2019-11-26
21569,74,74016,4.0,2019-11-27
21660,74,74016,4.0,2019-11-28
21752,74,74016,4.0,2019-11-29
22048,74,74016,1.0,2019-12-04
22225,74,74016,2.0,2019-12-06
22347,74,74016,7.0,2019-12-09
22434,74,74016,5.0,2019-12-10
22523,74,74016,7.0,2019-12-11
22615,74,74016,2.0,2019-12-12
22707,74,74016,3.0,2019-12-13
22825,74,74016,2.0,2019-12-16
22913,74,74016,1.0,2019-12-17
23371,74,74016,4.0,2019-12-24
23455,74,74016,2.0,2019-12-25
23538,74,74016,1.0,2019-12-26
23620,74,74016,1.0,2019-12-27
23727,74,74016,1.0,2019-12-30
